Titulo,Artista,Year,Genero,Estado,pais,stilo
Ben Sidran - Don't Let Go,Ben Sidran,1974,"['Jazz', 'Funk / Soul']",Accepted,US,"['Soul-Jazz', 'Jazz-Funk']"
Patrick Moraz - The Story Of i,Patrick Moraz,1976,"['Electronic', 'Jazz', 'Rock']",Accepted,US,"['Art Rock', 'Prog Rock', 'Experimental', 'Ambient']"
Various - Out Of The Purple Haze,Various,1995,['Electronic'],Accepted,US,"['House', 'Techno', 'Minimal', 'Acid']"
Various - Brillante Schweizer Marsch- Und Blasmusik,Various,1978,['Brass & Military'],Accepted,Switzerland,"['Marches', 'Military']"
Ben Sidran - Don't Let Go,Ben Sidran,1974,"['Jazz', 'Funk / Soul']",Accepted,US,"['Soul-Jazz', 'Jazz-Funk']"
Patrick Moraz - The Story Of i,Patrick Moraz,1976,"['Electronic', 'Jazz', 'Rock']",Accepted,US,"['Art Rock', 'Prog Rock']"
Ben Sidran - Don't Let Go,Ben Sidran,1974,"['Jazz', 'Funk / Soul']",Accepted,Japan,"['Soul-Jazz', 'Jazz-Funk']"
Patrick Moraz - The Story Of i,Patrick Moraz,0,"['Electronic', 'Jazz', 'Rock']",Accepted,Portugal,"['Art Rock', 'Prog Rock', 'Experimental', 'Ambient']"
Ben Sidran - Don't Let Go,Ben Sidran,1974,"['Jazz', 'Funk / Soul']",Accepted,Canada,"['Soul-Jazz', 'Jazz-Funk']"
Alvaro Soler - Mar De Colores (Versión Extendida),Alvaro Soler,2019,"['Latin', 'Pop']",Accepted,Europe,['Vocal']
Various - Strumenti D'Oro - I Grandi Solisti Della Musica Leggera,Various,0,"['Jazz', 'Latin', 'Pop', 'Stage & Screen']",Accepted,Italy,"['Soundtrack', 'Theme', 'Tango', 'Ballad', 'Latin Jazz', 'Smooth Jazz']"
Ben Sidran - Don't Let Go,Ben Sidran,1974,"['Jazz', 'Funk / Soul']",Accepted,US,"['Soul-Jazz', 'Jazz-Funk']"
Prodigy* - The Fat Of The Land,The Prodigy,1997,['Electronic'],Accepted,Italy,"['Breakbeat', 'Big Beat']"
Willy Bestgen - Fanfare Suisses,Willy Bestgen,0,"['Folk, World, & Country']",Accepted,Switzerland,['Folk']
Patrick Moraz - The Story Of i,Patrick Moraz,1976,"['Electronic', 'Jazz', 'Rock']",Accepted,Italy,"['Art Rock', 'Prog Rock', 'Experimental', 'Ambient']"
Patrick Moraz - The Story Of i,Patrick Moraz,1976,"['Electronic', 'Jazz', 'Rock']",Accepted,New Zealand,"['Art Rock', 'Prog Rock', 'Experimental', 'Ambient']"
"Wolfgang Rihm / Ensemble 13 : Wolfgang Hock, Joachim Lemme, Martin Ostertag, Bernhard Wambach, Richard Salter (2) / Kolberg Percussion Ensemble / Manfred Reichert - Wolfgang Rihm",Wolfgang Rihm,1982,['Classical'],Accepted,Germany,['Contemporary']
Bernard Romanens - 500ème Anniversaire De Fribourg,Bernard Romanens,1981,"['Folk, World, & Country']",Accepted,Switzerland,['Volksmusik']
Tita Fantin - Tita Canta,Tita Fantin,0,['Classical'],Accepted,Italy,['Classical']
Ben Sidran - Don't Let Go,Ben Sidran,0,"['Jazz', 'Funk / Soul']",Accepted,France,"['Soul-Jazz', 'Jazz-Funk']"
Patrick Moraz - The Story Of i,Patrick Moraz,1976,"['Electronic', 'Jazz', 'Rock']",Accepted,Germany,"['Art Rock', 'Prog Rock', 'Experimental', 'Ambient']"
Various - The Very Best Of Latin Flavour Club,Various,2018,"['Electronic', 'Hip Hop', 'Latin', 'Pop']",Accepted,Europe,"['Ethno-pop', 'Europop', 'Reggaeton', 'RnB/Swing', 'Dance-pop']"
Ben Sidran - Don't Let Go,Ben Sidran,1974,"['Jazz', 'Funk / Soul']",Accepted,US,"['Soul-Jazz', 'Jazz-Funk']"
