Titulo,Artista,Year,Genero,Estado,pais,stilo
Miley Cyrus - Younger Now,Miley Cyrus,2017,"['Rock', 'Folk, World, & Country']",Accepted,US,"['Country', 'Pop Rock', 'Soft Rock']"
Miley Cyrus - Can't Be Tamed,Miley Cyrus,2010,['Pop'],Accepted,US,['Vocal']
Miley Cyrus - Miley Cyrus And Her Dead Petz,Miley Cyrus,2015,['Pop'],Accepted,US,
Miley Cyrus - Endless Summer Vacation,Miley Cyrus,2023,"['Rock', 'Pop']",Accepted,Europe,"['Alt-Pop', 'Pop Rock']"
Miley Cyrus - Bangerz,Miley Cyrus,2013,"['Hip Hop', 'Pop']",Accepted,Europe,"['Ballad', 'Pop Rap', 'Vocal']"
Miley Cyrus - Endless Summer Vacation,Miley Cyrus,2023,"['Rock', 'Pop']",Accepted,US,"['Alt-Pop', 'Pop Rock', 'Psychobilly']"
Miley Cyrus - Breakout,Miley Cyrus,2008,"['Rock', 'Pop']",Accepted,Europe,"['Pop Rock', 'Ballad']"
Miley Cyrus - Can't Be Tamed,Miley Cyrus,2010,"['Electronic', 'Pop']",Accepted,Europe,"['Electro', 'Vocal']"
The Kid Laroi & Miley Cyrus - Without You (Miley Cyrus Remix),The Kid Laroi,2021,"['Hip Hop', 'Pop']",Accepted,Worldwide,
Miley Cyrus - Can't Be Tamed ,Miley Cyrus,2010,['Pop'],Accepted,Europe,['Vocal']
Miley Cyrus - Plastic Hearts,Miley Cyrus,2020,"['Rock', 'Pop']",Accepted,US,"['Arena Rock', 'Hard Rock', 'Post-Punk', 'Power Metal', 'Soft Rock', 'Pop Rock', 'Ballad']"
Miley Cyrus - Wrecking Ball,Miley Cyrus,0,['Pop'],Accepted,France,['Ballad']
Miley Cyrus - Bangerz,Miley Cyrus,2013,"['Hip Hop', 'Pop']",Accepted,US,['Synth-pop']
Miley Cyrus - Wrecking Ball,Miley Cyrus,2013,"['Electronic', 'Pop']",Accepted,Unknown,"['Dance-pop', 'Ballad', 'Dubstep', 'Electro']"
"Hannah Montana, Miley Cyrus - Hannah Montana & Miley Cyrus - Best Of Both Worlds Concert",Hannah Montana,2008,"['Rock', 'Pop']",Accepted,UK,"['Pop Rock', 'Power Pop', 'Soft Rock', 'Pop Punk']"
"Hannah Montana, Miley Cyrus - Hannah Montana & Miley Cyrus En Concierto: Lo Mejor De Ambos Mundos",Hannah Montana,2008,"['Rock', 'Pop', 'Stage & Screen']",Accepted,Mexico,"['Alternative Rock', 'Pop Punk', 'Pop Rock', 'Power Pop', 'Soft Rock', 'Soundtrack']"
Miley Cyrus - Breakout,Miley Cyrus,2008,"['Rock', 'Pop']",Accepted,UK,"['Pop Rock', 'Vocal']"
Miley Cyrus - Bangerz,Miley Cyrus,2013,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Brazil,['Europop']
Miley Cyrus - Wrecking Ball,Miley Cyrus,2013,['Pop'],Accepted,"Germany, Austria, & Switzerland",['Ballad']
Miley Cyrus - Bangerz,Miley Cyrus,2013,"['Hip Hop', 'Pop']",Accepted,Europe,
Miley Cyrus - Who Is Miley?,Miley Cyrus,2008,['Rock'],Accepted,Japan,['Pop Rock']
Miley Cyrus - Plastic Hearts,Miley Cyrus,2020,"['Rock', 'Pop']",Accepted,Japan,"['Arena Rock', 'Hard Rock', 'Post-Punk', 'Power Pop', 'Soft Rock', 'Pop Rock', 'Ballad']"
