Titulo,Artista,Year,Genero,Estado,pais,stilo
BLΛƆKPIИK* - The Album,BLACKPINK,2021,"['Hip Hop', 'Pop']",Accepted,Europe,"['K-pop', 'Trap']"
BLACKPINK - Born Pink,BLACKPINK,2022,['Pop'],Accepted,UK & Europe,['K-pop']
BLACKPINK - The Album,BLACKPINK,2020,"['Hip Hop', 'Pop']",Accepted,South Korea,['K-pop']
BLACKPINK - Kill This Love / Square Up,BLACKPINK,2019,['Pop'],Accepted,US,['K-pop']
BLACKPINK - Square One,BLACKPINK,2016,"['Electronic', 'Hip Hop', 'Pop']",Accepted,South Korea,"['Trap', 'K-pop']"
BLACKPINK - Born Pink,BLACKPINK,2022,"['Electronic', 'Hip Hop', 'Pop']",Accepted,US,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2022,"['Electronic', 'Hip Hop', 'Pop']",Accepted,South Korea,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2022,['Pop'],Accepted,South Korea,['K-pop']
BLACKPINK - The Album ,BLACKPINK,2020,"['Electronic', 'Hip Hop', 'Pop']",Accepted,US,"['K-pop', 'Synth-pop', 'Pop Rap', 'Dance-pop']"
BLACKPINK - As If It's Your Last,BLACKPINK,2017,"['Electronic', 'Hip Hop', 'Reggae', 'Pop']",Accepted,South Korea,"['Dance-pop', 'Pop Rap', 'K-pop']"
BLACKPINK - The Album,BLACKPINK,2020,"['Electronic', 'Hip Hop', 'Pop']",Accepted,US,"['K-pop', 'Dance-pop', 'Synth-pop', 'Pop Rap', 'Ballad']"
BLACKPINK - The Album,BLACKPINK,2020,['Pop'],Accepted,UK,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2022,"['Electronic', 'Hip Hop', 'Pop']",Accepted,US,['K-pop']
BLACKPINK - Square Two,BLACKPINK,2016,"['Electronic', 'Pop']",Accepted,South Korea,"['K-pop', 'Ballad']"
BLACKPINK - The Album,BLACKPINK,2020,['Pop'],Accepted,Mexico,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2022,"['Electronic', 'Hip Hop', 'Pop']",Accepted,US,['K-pop']
BLACKPINK - The Album,BLACKPINK,2020,['Pop'],Accepted,UK,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2022,['Pop'],Accepted,US,['K-pop']
BLACKPINK - Ddu-Du Ddu-Du,BLACKPINK,2018,"['Electronic', 'Pop']",Accepted,Japan,"['K-pop', 'Hip Hop']"
BLACKPINK - The Album -JP Ver.-,BLACKPINK,2021,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['K-pop', 'Synth-pop', 'Pop Rap', 'Dance-pop', 'J-pop']"
BLACKPINK - Born Pink,BLACKPINK,2022,"['Electronic', 'Hip Hop', 'Pop']",Accepted,UK & Europe,['K-pop']
BLACKPINK - Blackpink 2021 'The Show' Live,BLACKPINK,2021,['Pop'],Accepted,Unknown,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2022,"['Electronic', 'Hip Hop', 'Pop']",Accepted,US,['K-pop']
BLACKPINK - Kill This Love -JP Ver.- ,BLACKPINK,2019,['Pop'],Accepted,Japan,"['K-pop', 'J-pop']"
BLACKPINK - Born Pink,BLACKPINK,2022,"['Electronic', 'Hip Hop', 'Pop']",Accepted,South Korea,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2022,['Pop'],Accepted,US,['K-pop']
BLACKPINK - Kill This Love,BLACKPINK,2019,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Unknown,"['Dance-pop', 'Drum n Bass', 'Dub', 'Electro', 'K-pop', 'Synth-pop']"
BLACKPINK - Square Up,BLACKPINK,2018,['Pop'],Accepted,South Korea,['K-pop']
BLACKPINK - Ddu-Du Ddu-Du ,BLACKPINK,2018,"['Electronic', 'Pop']",Accepted,Japan,"['K-pop', 'Hip Hop']"
BLACKPINK - Square Two,BLACKPINK,2016,['Pop'],Accepted,Unknown,['K-pop']
BLACKPINK - The Album,BLACKPINK,2020,['Pop'],Accepted,France,['K-pop']
BLACKPINK - Kill This Love -JP Ver.- ,BLACKPINK,2019,"['Hip Hop', 'Pop']",Accepted,Japan,"['K-pop', 'Pop Rap']"
BLACKPINK - The Album,BLACKPINK,2020,['Pop'],Accepted,South Korea,['K-pop']
Blackpink - Ddu-Du Ddu-Du ,Blackpink,2018,"['Electronic', 'Pop']",Accepted,Japan,"['K-pop', 'Hip Hop']"
BLACKPINK - Ddu-Du Ddu-Du ,BLACKPINK,2018,"['Electronic', 'Pop']",Accepted,Japan,"['K-pop', 'Hip Hop']"
BLACKPINK - Ddu-Du Ddu-Du ,BLACKPINK,2018,"['Electronic', 'Pop']",Accepted,Japan,"['K-pop', 'Hip Hop']"
BLACKPINK - The Album,BLACKPINK,2020,['Pop'],Accepted,UK,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2022,"['Electronic', 'Hip Hop', 'Pop']",Accepted,UK & Europe,['K-pop']
BLACKPINK - The Album -JP Ver.-,BLACKPINK,2021,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['K-pop', 'Synth-pop', 'Pop Rap', 'Dance-pop', 'J-pop']"
BLACKPINK - Ddu-Du Ddu-Du,BLACKPINK,2018,"['Electronic', 'Pop']",Accepted,Japan,"['K-pop', 'Hip Hop']"
BLACKPINK - Born Pink,BLACKPINK,2022,['Pop'],Accepted,UK & Europe,['K-pop']
BLACKPINK - Kill This Love -JP Ver.- ,BLACKPINK,2019,"['Hip Hop', 'Pop']",Accepted,Japan,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2022,['Pop'],Accepted,UK & Europe,['K-pop']
Blackpink - The Album,Blackpink,2023,['Pop'],Accepted,US,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2022,"['Electronic', 'Hip Hop', 'Pop']",Accepted,US,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2022,['Pop'],Accepted,Worldwide,"['K-pop', 'Dance-pop', 'Trap', 'Pop Rap']"
BLACKPINK - Born Pink,BLACKPINK,2022,['Pop'],Accepted,UK & Europe,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2022,['Pop'],Accepted,UK & Europe,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2022,"['Electronic', 'Hip Hop', 'Pop']",Accepted,US,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2022,['Pop'],Accepted,UK & Europe,['K-pop']
BLACKPINK - Kill This Love -JP Ver.- ,BLACKPINK,2019,['Pop'],Accepted,Japan,"['K-pop', 'J-pop']"
BLACKPINK - Born Pink,BLACKPINK,2022,['Pop'],Accepted,UK & Europe,['K-pop']
BLACKPINK - Kill This Love -JP Ver.- ,BLACKPINK,2019,['Pop'],Accepted,Japan,"['K-pop', 'J-pop']"
BLACKPINK - Born Pink,BLACKPINK,2022,['Pop'],Accepted,UK & Europe,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2022,['Pop'],Accepted,UK & Europe,['K-pop']
BLACKPINK - Kill This Love -JP Ver.- ,BLACKPINK,2019,"['Hip Hop', 'Pop']",Accepted,Japan,"['K-pop', 'Pop Rap']"
BLACKPINK - Square One,BLACKPINK,2016,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Unknown,"['Trap', 'Electro House', 'Pop Rap', 'Dance-pop', 'K-pop']"
BLACKPINK - Kill This Love -JP Ver.- ,BLACKPINK,2019,"['Hip Hop', 'Pop']",Accepted,Japan,"['K-pop', 'Pop Rap']"
BLACKPINK - The Album,BLACKPINK,2020,['Pop'],Accepted,Argentina,['K-pop']
BLACKPINK - Kill This Love / Square Up,BLACKPINK,2019,"['Electronic', 'Hip Hop', 'Pop']",Accepted,New Zealand,"['K-pop', 'Dance-pop']"
BLACKPINK - The Album -JP Ver.-,BLACKPINK,2021,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['K-pop', 'Synth-pop', 'Pop Rap', 'Dance-pop', 'J-pop']"
BLACKPINK - The Album -JP Ver.-,BLACKPINK,2021,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['K-pop', 'Synth-pop', 'Pop Rap', 'Dance-pop', 'J-pop']"
BLACKPINK - The Album -JP Ver.-,BLACKPINK,2021,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['K-pop', 'Synth-pop', 'Pop Rap', 'Dance-pop', 'J-pop']"
BLACKPINK - Kill This Love,BLACKPINK,2019,"['Electronic', 'Hip Hop', 'Pop']",Accepted,France,"['Dance-pop', 'Drum n Bass', 'Dub', 'Electro', 'K-pop', 'Synth-pop', 'Minimal Techno', 'Bassline', 'Ballad']"
BLACKPINK - Born Pink,BLACKPINK,2022,"['Electronic', 'Hip Hop', 'Pop']",Accepted,US,['K-pop']
BLACKPINK - The Album -JP Ver.-,BLACKPINK,2021,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['K-pop', 'Synth-pop', 'Pop Rap', 'Dance-pop', 'J-pop']"
Blackpink - The Album,Blackpink,2020,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Australia,['K-pop']
BLACKPINK - Kill This Love,BLACKPINK,2019,['Pop'],Accepted,France,['K-pop']
BLACKPINK - BLACKPINK 2021 'THE SHOW' LIVE,BLACKPINK,2021,"['Hip Hop', 'Pop']",Accepted,Unknown,"['K-pop', 'Pop Rap']"
BLACKPINK - Born Pink,BLACKPINK,2022,"['Electronic', 'Hip Hop', 'Pop']",Accepted,US,['K-pop']
BLACKPINK - The Album -JP Ver.-,BLACKPINK,2021,['Pop'],Accepted,Japan,"['K-pop', 'J-pop']"
BLACKPINK - The Album,BLACKPINK,2021,['Pop'],Accepted,Japan,['K-pop']
