Titulo,Artista,Year,Genero,Estado,pais,stilo
Clint Eastwood & General Saint* - Two Bad D.J.,Clint Eastwood And General Saint,2001,['Reggae'],Accepted,UK,['Dancehall']
"Modest Mouse - Uncle Bunny Faces' Useless Anology Involving Distance, Freight Trains, And Half Ripe Limes (It Doesn't Matter, Limes Are Sour Either Way)",Modest Mouse,1993,['Rock'],Accepted,US,"['Lo-Fi', 'Indie Rock']"
Various - Superfly Soul (Dynamite Funk And Bad-Assed Street Grooves),Various,2003,"['Jazz', 'Funk / Soul']",Accepted,UK,"['Jazz-Funk', 'Soul', 'Funk']"
L. Smart* - Bad Minded People,Leroy Smart,1986,['Reggae'],Accepted,Jamaica,"['Reggae', 'Dub']"
Bad Bunny - El Conejo Malo,Bad Bunny,2017,"['Hip Hop', 'Latin']",Accepted,Puerto Rico,['Reggaeton']
Rayvon - My Bad,Rayvon,2002,['Hip Hop'],Accepted,UK & Europe,['Pop Rap']
Clint Eastwood & General Saint* - Two Bad D.J.,Clint Eastwood And General Saint,1988,['Reggae'],Accepted,UK,['Dancehall']
Bunny Wailer - Protest,Bunny Wailer,1977,['Reggae'],Accepted,Netherlands,['Roots Reggae']
Bunny Wailer - Protest,Bunny Wailer,1977,['Reggae'],Accepted,France,
Rayvon - My Bad,Rayvon,2002,['Hip Hop'],Accepted,Canada,
Bad Bunny - Las Que No Iban A Salir,Bad Bunny,2020,"['Hip Hop', 'Latin']",Accepted,US,"['Reggaeton', 'Trap']"
Bunny General - Kill Dem All,Bunny General,0,['Reggae'],Accepted,Jamaica,['Dancehall']
"Clive ""Azul"" Hunt* - Bad Bad Bad (""Golden Age"" Reggae From A Legendary Producer)",Clive Hunt,2020,['Reggae'],Accepted,US,"['Reggae', 'Roots Reggae', 'Dancehall']"
Bunny Wailer - Protest,Bunny Wailer,1990,['Reggae'],Accepted,Germany,"['Reggae', 'Roots Reggae']"
Bad Company (3) - Run With The Pack,Bad Company (3),1976,['Rock'],Accepted,US,['Hard Rock']
Sly & Robbie Meet Bunny Lee - Sly & Robbie Meet Bunny Lee At Dub Station,Sly & Robbie,2006,['Reggae'],Accepted,UK,['Dub']
Delroy Wilson / Bingy Buny* - I Am Telling You / Coca-Cola Bad Boy,Delroy Wilson,1980,['Reggae'],Accepted,US,
J. Balvin & Bad Bunny - Oasis,J. Balvin,2019,"['Hip Hop', 'Latin']",Accepted,Mexico,['Reggaeton']
Jonnie Clarke* - Just Give Up The Badness,Johnny Clarke,0,['Reggae'],Accepted,Jamaica,"['Roots Reggae', 'Dub']"
Clint Eastwood & General Saint* - Two Bad D.J.,Clint Eastwood And General Saint,1982,['Reggae'],Accepted,US,['Dancehall']
Bunny Wailer - Protest,Bunny Wailer,0,['Reggae'],Accepted,US,['Roots Reggae']
Bunny Wailer - Protest,Bunny Wailer,1987,['Reggae'],Accepted,US,"['Reggae', 'Roots Reggae']"
Bunny Berigan and his Orchestra* - Bunny Berigan and his Orchestra,Bunny Berigan & His Orchestra,0,"['Jazz', 'Pop']",Accepted,US,"['Vocal', 'Big Band']"
White Lung - Sorry,White Lung,2012,['Rock'],Accepted,Canada,['Punk']
Clint Eastwood & General Saint* - Two Bad D.J.,Clint Eastwood And General Saint,2001,['Reggae'],Accepted,UK,['Dancehall']
Bunny Wailer - Protest,Bunny Wailer,1977,['Reggae'],Accepted,Australia,['Roots Reggae']
Derrick Morgan - Seven Letters / Too Bad,Derrick Morgan,1969,['Reggae'],Accepted,UK,['Reggae']
Bunny Wailer - Protest,Bunny Wailer,1977,['Reggae'],Accepted,Jamaica,['Reggae']
Bunny Wailer - Hall Of Fame - A Tribute To Bob Marley's 50th Anniversary,Bunny Wailer,1995,['Reggae'],Accepted,US,['Roots Reggae']
Bunny Wailer - Reincarnated Souls ,Bunny Wailer,2013,"['Hip Hop', 'Reggae']",Accepted,US,['Roots Reggae']
Bunny Wailer - Just Be Nice,Bunny Wailer,1993,['Reggae'],Accepted,US,"['Dancehall', 'Reggae-Pop']"
Bunny Wailer - Protest,Bunny Wailer,1977,['Reggae'],Accepted,UK,
Joe Simon - Pool Of Bad Luck / Glad To Be Your Lover,Joe Simon,1972,['Funk / Soul'],Accepted,US,['Soul']
Bunny Wailer - Protest,Bunny Wailer,1977,['Reggae'],Accepted,Jamaica,"['Reggae', 'Roots Reggae']"
Derrick Morgan - Seven Letters / Too Bad,Derrick Morgan,1969,['Reggae'],Accepted,UK,['Reggae']
Ruby Braff - Hi-Fi Salute To Bunny,Ruby Braff,1994,['Jazz'],Accepted,Germany,
Rayvon - My Bad,Rayvon,2002,"['Hip Hop', 'Reggae']",Accepted,US,"['Dancehall', 'Ragga HipHop']"
Clint Eastwood & General Saint* - Two Bad D.J.,Clint Eastwood And General Saint,2009,['Reggae'],Accepted,UK & Europe,['Dancehall']
Bad Bunny - Las Que No Iban A Salir ,Bad Bunny,2020,"['Hip Hop', 'Latin']",Accepted,Unknown,"['Reggaeton', 'Trap']"
Bunny Wailer - Protest,Bunny Wailer,1977,['Reggae'],Accepted,Jamaica,"['Reggae', 'Roots Reggae']"
Sly & Robbie Meet Bunny Lee - At Dub Station,Sly & Robbie,2002,['Reggae'],Accepted,UK,['Dub']
Various - Bunny Diamond Present Swingers Choice Part 1,Various,1994,['Reggae'],Accepted,Jamaica,['Dancehall']
Bunny Wailer - Protest,Bunny Wailer,1977,['Reggae'],Accepted,Italy,['Roots Reggae']
Fatman* Presents Prince Jammy Vs Crucial Bunny - Dub Contest,Ken 'Fatman' Gordon,2006,['Reggae'],Accepted,Japan,['Dub']
Joe Simon - Pool Of Bad Luck,Joe Simon,1972,['Funk / Soul'],Accepted,US,['Soul']
Bad Bunny - Soy Peor,Bad Bunny,2016,"['Hip Hop', 'Latin']",Accepted,Puerto Rico,['Trap']
Bad Company (3) - Run With The Pack,Bad Company (3),1976,['Rock'],Accepted,Netherlands,['Hard Rock']
Bunny Wailer - Protest,Bunny Wailer,0,['Reggae'],Accepted,UK,
Bad Company (3) - Run With The Pack,Bad Company (3),1976,['Rock'],Accepted,Germany,['Hard Rock']
Bad Bunny - Las Que No Iban A Salir,Bad Bunny,2020,"['Hip Hop', 'Latin']",Accepted,Unknown,"['Reggaeton', 'Trap']"
Bad Bunny - X 100PRE,Bad Bunny,2022,"['Hip Hop', 'Latin']",Accepted,Chile,"['Trap', 'Reggaeton']"
