Titulo,Artista,Year,Genero,Estado,pais,stilo
Maroon 5 - Songs About Jane (10th Anniversary Edition),Maroon 5,2012,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
Maroon 5 - Hands All Over,Maroon 5,2010,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Pop Rock']"
Maroon 5 - Songs About Jane,Maroon 5,0,"['Rock', 'Pop']",Accepted,US,"['Pop Rock', 'Soft Rock']"
Maroon 5 - Songs About Jane,Maroon 5,2007,"['Rock', 'Pop']",Accepted,Canada,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
Maroon 5 - Hands All Over,Maroon 5,2010,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Pop Rock']"
Maroon 5 - V,Maroon 5,2014,"['Rock', 'Pop']",Accepted,US,"['Pop Rock', 'Synth-pop', 'Soft Rock']"
Maroon 5 - Maximum Maroon 5 (The Unauthorised Biography Of Maroon 5),Maroon 5,2004,['Non-Music'],Accepted,UK,
Maroon 5 - Songs About Jane,Maroon 5,2007,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
Maroon 5 - Red Pill Blues,Maroon 5,2017,['Pop'],Accepted,US,['Pop Rock']
Maroon 5 - Live - Friday The 13th,Maroon 5,2005,"['Rock', 'Pop']",Accepted,US,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
Maroon 5 - V,Maroon 5,2014,['Pop'],Accepted,Europe,
Maroon 5 - It Won't Be Soon Before Long,Maroon 5,2007,"['Rock', 'Pop']",Accepted,Australasia,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
Maroon 5 - This Love,Maroon 5,2004,['Electronic'],Accepted,US,['House']
Maroon 5 - Songs About Jane,Maroon 5,2003,"['Rock', 'Pop']",Accepted,Mexico,"['Alternative Rock', 'Soft Rock', 'Pop Rock']"
Maroon 5 - Songs About Jane,Maroon 5,0,"['Rock', 'Pop']",Accepted,US,"['Soft Rock', 'Pop Rock']"
Maroon 5 - One More Night,Maroon 5,2012,"['Electronic', 'Pop']",Accepted,UK,"['House', 'Europop', 'Euro House', 'Dubstep']"
The Minus 5 - The Minus 5,The Minus 5,2012,['Rock'],Accepted,US,"['Indie Rock', 'Pop Rock']"
Maroon 5 - Jordi,Maroon 5,2021,['Pop'],Accepted,US,
Nicole Mitchell - Maroon Cloud,Nicole Mitchell,2018,['Jazz'],Accepted,US,['Free Jazz']
